Number of Blocks, Time, Time Units, States Explored, Plan Length

5, 0.00, seconds, 19, 8
5, 0.00, seconds, 20, 6
5, 0.00, seconds, 24, 10
5, 0.00, seconds, 33, 14
5, 0.00, seconds, 10, 4
5, 0.00, seconds, 13, 6
5, 0.00, seconds, 48, 14
5, 0.00, seconds, 37, 12
5, 0.00, seconds, 21, 8
5, 0.00, seconds, 74, 14
5, 0.00, seconds, 64, 16
5, 0.00, seconds, 38, 8
5, 0.00, seconds, 66, 14
5, 0.00, seconds, 89, 14
5, 0.00, seconds, 44, 10
5, 0.00, seconds, 63, 14
5, 0.00, seconds, 20, 8
5, 0.00, seconds, 58, 16
5, 0.00, seconds, 63, 16
5, 0.00, seconds, 17, 6
5, 0.00, seconds, 26, 6
5, 0.00, seconds, 76, 18
5, 0.00, seconds, 61, 18
5, 0.00, seconds, 35, 12
5, 0.00, seconds, 25, 10
5, 0.00, seconds, 20, 6
5, 0.00, seconds, 27, 10
5, 0.00, seconds, 40, 14
5, 0.00, seconds, 28, 8
5, 0.00, seconds, 23, 8
5, 0.00, seconds, 20, 10
5, 0.00, seconds, 28, 10
5, 0.00, seconds, 18, 8
5, 0.00, seconds, 37, 14
5, 0.00, seconds, 18, 8
5, 0.00, seconds, 38, 8
5, 0.00, seconds, 18, 6
5, 0.00, seconds, 30, 12
5, 0.00, seconds, 24, 8
5, 0.00, seconds, 44, 12
5, 0.00, seconds, 11, 4
5, 0.00, seconds, 35, 12
5, 0.00, seconds, 25, 10
5, 0.00, seconds, 52, 12
5, 0.00, seconds, 33, 12
5, 0.00, seconds, 37, 10
5, 0.00, seconds, 45, 12
5, 0.00, seconds, 19, 8
5, 0.00, seconds, 21, 8
5, 0.00, seconds, 42, 16
7, 0.00, seconds, 36, 10
7, 0.00, seconds, 563, 36
7, 0.00, seconds, 39, 14
7, 0.00, seconds, 62, 14
7, 0.00, seconds, 90, 16
7, 0.00, seconds, 34, 10
7, 0.00, seconds, 182, 18
7, 0.00, seconds, 89, 20
7, 0.00, seconds, 88, 18
7, 0.00, seconds, 33, 14
7, 0.00, seconds, 151, 24
7, 0.00, seconds, 72, 20
7, 0.00, seconds, 157, 14
7, 0.00, seconds, 225, 30
7, 0.00, seconds, 70, 18
7, 0.00, seconds, 78, 18
7, 0.00, seconds, 55, 12
7, 0.00, seconds, 796, 24
7, 0.00, seconds, 42, 12
7, 0.00, seconds, 109, 16
7, 0.00, seconds, 371, 32
7, 0.00, seconds, 68, 12
7, 0.00, seconds, 48, 14
7, 0.00, seconds, 64, 14
7, 0.00, seconds, 33, 10
7, 0.00, seconds, 43, 16
7, 0.00, seconds, 66, 18
7, 0.00, seconds, 62, 16
7, 0.00, seconds, 220, 30
7, 0.00, seconds, 70, 14
7, 0.00, seconds, 39, 10
7, 0.00, seconds, 267, 22
7, 0.00, seconds, 386, 16
7, 0.00, seconds, 317, 26
7, 0.00, seconds, 34, 12
7, 0.00, seconds, 58, 16
7, 0.00, seconds, 80, 16
7, 0.00, seconds, 74, 18
7, 0.00, seconds, 60, 16
7, 0.00, seconds, 595, 26
7, 0.00, seconds, 89, 16
7, 0.00, seconds, 51, 14
7, 0.00, seconds, 58, 14
7, 0.00, seconds, 49, 16
7, 0.00, seconds, 95, 18
7, 0.00, seconds, 62, 12
7, 0.00, seconds, 91, 24
7, 0.00, seconds, 99, 18
7, 0.00, seconds, 190, 24
7, 0.00, seconds, 102, 16
9, 0.00, seconds, 62, 10
9, 0.00, seconds, 930, 32
9, 0.00, seconds, 134, 26
9, 0.01, seconds, 2022, 36
9, 0.00, seconds, 120, 20
9, 0.00, seconds, 52, 14
9, 0.00, seconds, 74, 14
9, 0.00, seconds, 112, 22
9, 0.00, seconds, 542, 32
9, 0.00, seconds, 115, 32
9, 0.00, seconds, 125, 26
9, 0.00, seconds, 101, 26
9, 0.00, seconds, 153, 24
9, 0.00, seconds, 159, 16
9, 0.00, seconds, 505, 36
9, 0.00, seconds, 355, 34
9, 0.00, seconds, 463, 30
9, 0.00, seconds, 176, 22
9, 0.00, seconds, 151, 22
9, 0.00, seconds, 313, 22
9, 0.00, seconds, 51, 12
9, 0.00, seconds, 155, 24
9, 0.00, seconds, 81, 16
9, 0.00, seconds, 97, 18
9, 0.00, seconds, 659, 34
9, 0.00, seconds, 243, 20
