Number of Targets, Time, Plan Length, Num Satellites, Num Modes, Num Instruments, Num Observations
1, 0.008100397000134762, 8, 10, 5, 10, 2
1, 0.007027587000038693, 7, 10, 5, 10, 2
1, 0.012018511000178478, 11, 10, 5, 10, 2
1, 0.008715261999896029, 11, 10, 5, 10, 2
1, 0.011757429999988744, 8, 10, 5, 10, 2
1, 0.013094202000047517, 10, 10, 5, 10, 2
1, 0.008369133000087459, 10, 10, 5, 10, 2
1, 0.0055293599998549325, 7, 10, 5, 10, 2
1, 0.008045273000107045, 11, 10, 5, 10, 2
1, 0.00843949199997951, 10, 10, 5, 10, 2
1, 0.007264785000188567, 9, 10, 5, 10, 2
1, 0.0074455139999827225, 9, 10, 5, 10, 2
1, 0.012459010000156923, 10, 10, 5, 10, 2
1, 0.01003627999989476, 12, 10, 5, 10, 2
1, 0.010174762999895393, 12, 10, 5, 10, 2
1, 0.008840800000143645, 6, 10, 5, 10, 2
1, 0.008958114000051864, 9, 10, 5, 10, 2
1, 0.008113238999840178, 11, 10, 5, 10, 2
1, 0.009277499999825523, 11, 10, 5, 10, 2
1, 0.00712141300004987, 9, 10, 5, 10, 2
1, 0.007897912000089491, 11, 10, 5, 10, 2
1, 0.006510040999955891, 8, 10, 5, 10, 2
1, 0.007586805000073582, 11, 10, 5, 10, 2
1, 0.007750374999886844, 9, 10, 5, 10, 2
1, 0.008055044999991878, 9, 10, 5, 10, 2
1, 0.008421811999824058, 9, 10, 5, 10, 2
1, 0.008543334000023606, 11, 10, 5, 10, 2
1, 0.0061637940000309754, 7, 10, 5, 10, 2
1, 0.007615583999950104, 10, 10, 5, 10, 2
1, 0.005126271999870369, 7, 10, 5, 10, 2
1, 0.010850415999811958, 13, 10, 5, 10, 2
1, 0.005432850000033795, 7, 10, 5, 10, 2
1, 0.005391685999939, 7, 10, 5, 10, 2
1, 0.0061541850000139675, 7, 10, 5, 10, 2
1, 0.010033754000005501, 12, 10, 5, 10, 2
1, 0.007294253000054596, 9, 10, 5, 10, 2
1, 0.008952770000178134, 10, 10, 5, 10, 2
1, 0.004415888000039558, 6, 10, 5, 10, 2
1, 0.00711353700012296, 9, 10, 5, 10, 2
1, 0.00848705900011737, 7, 10, 5, 10, 2
1, 0.004629650999959267, 6, 10, 5, 10, 2
1, 0.009503958000095736, 11, 10, 5, 10, 2
1, 0.011855487000048015, 10, 10, 5, 10, 2
1, 0.005924284000002444, 7, 10, 5, 10, 2
1, 0.005113575999985187, 7, 10, 5, 10, 2
1, 0.008296647999941342, 8, 10, 5, 10, 2
1, 0.008367663999933939, 10, 10, 5, 10, 2
1, 0.007571975000018938, 10, 10, 5, 10, 2
1, 0.008896413000002212, 12, 10, 5, 10, 2
1, 0.007142415999851437, 10, 10, 5, 10, 2
2, 0.008872857000142176, 13, 10, 5, 10, 2
2, 0.0081744639999215, 10, 10, 5, 10, 2
2, 0.008133535000069969, 10, 10, 5, 10, 2
2, 0.013085090999993554, 10, 10, 5, 10, 2
2, 0.009999183999980232, 12, 10, 5, 10, 2
2, 0.009074410000039279, 11, 10, 5, 10, 2
2, 0.01031789800003935, 9, 10, 5, 10, 2
2, 0.006707224999900063, 9, 10, 5, 10, 2
2, 0.015192492000096536, 15, 10, 5, 10, 2
2, 0.006124844999931156, 9, 10, 5, 10, 2
